storeUid,provider,storeName,contactName,phone,planId,status,expiresAt
salla:1009891769,salla,,,,TRIAL,expired,2026-02-14T00:48:24.178Z
salla:1148291667,salla,,,,TRIAL,active_by_plan,
salla:1186711214,salla,,,,PAID_MONTHLY,active_by_plan,
salla:1369477519,salla,,,,TRIAL,expired,2026-02-21T00:48:55.923Z
salla:1459906623,salla,,,,TRIAL,active_by_plan,
salla:1598488142,salla,,,,TRIAL,expired,2026-02-21T00:48:42.585Z
salla:1603990332,,,,,TRIAL,expired,2026-01-30T00:48:59.385Z
salla:1607483358,salla,,,,PAID_MONTHLY,active_by_plan,
salla:1623177406,salla,,,,PAID_MONTHLY,active_by_plan,
salla:1800950097,salla,,,,PAID_MONTHLY,active_by_plan,
salla:1900960657,salla,,,,PAID_MONTHLY,expired,2026-02-02T00:47:52.043Z
salla:1949259124,salla,,,,TRIAL,expired,2026-02-02T00:47:45.829Z
salla:1993990582,salla,,,,TRIAL,expired,2026-02-12T00:49:38.015Z
salla:2046233832,salla,,,,PAID_MONTHLY,active_by_plan,
salla:2096986641,salla,,,,TRIAL,active_by_plan,
salla:2111433457,salla,,,,TRIAL,expired,2026-02-12T00:49:33.311Z
salla:292952409,salla,,,,PAID_MONTHLY,active_by_plan,
salla:325003770,salla,,,,PAID_MONTHLY,active_by_plan,
salla:377777696,salla,,,,TRIAL,expired,2026-02-02T00:47:53.936Z
salla:551020857,salla,,,,PAID_MONTHLY,active_by_plan,
salla:71143309,salla,,,,PAID_MONTHLY,active_by_plan,
salla:816144827,salla,,,,PAID_MONTHLY,active_by_plan,
salla:982747175,salla,,,,PAID_ANNUAL,active_by_plan,
salla:995534157,salla,,,,TRIAL,expired,2026-02-12T00:49:35.211Z
